5671|612|-464|-488
5672|612|-12|-533
5674|612|70|-245
5675|612|-603|-301
5676|612|-496|-410
5677|612|-12|-533
5678|612|332|-318
5679|612|176|-287
5680|612|-191|-584
5681|612|-261|99
5682|612|-261|99
5683|612|-541|-166
5684|612|-475|77
5685|612|-550|355
5686|612|-631|434
5687|612|-517|102
5688|612|678|-157
5689|612|634|-85
5690|612|634|-85
5691|612|634|-85
5692|612|482|-245
5693|612|383|98
5694|612|451|329
5695|612|763|330
5696|612|382|440
5697|612|194|428
5698|620|-75|-346
5699|620|-223|-356
5700|620|-709|-386
5701|620|-356|-505
5702|620|-563|-364
5703|620|-460|-721
5704|620|526|-621
5705|620|142|-601
5706|620|193|-56
5707|620|740|-456
5708|620|256|-303
5709|620|-353|532
5710|620|-448|587
5711|620|212|187
5712|620|214|447
5713|620|107|702
5714|620|-192|304
5715|620|-441|354
5716|621|-509|-182
5717|621|-38|-179
5718|621|-347|477
5719|621|-104|228
5720|621|231|-259
5721|621|-418|70
5722|621|106|71
5723|621|-166|522
5724|621|-210|-362
5725|621|279|-517
5726|621|120|430
5727|621|499|-264
5728|621|-239|-678
5729|621|-349|564
5730|621|-208|-64
5731|621|-335|-416
5732|621|48|-672
5733|613|381|847
5734|613|-276|-670
5735|613|678|-10
5736|613|532|-673
5737|613|357|789
5738|613|419|-694
5739|613|213|-786
5740|613|-52|545
5741|613|270|636
5742|613|142|579
5743|613|-759|319
5744|613|-759|319
5745|613|-759|319
5746|613|-810|86
5747|613|-210|698
5748|613|673|99
5749|613|-634|-660
5750|613|185|202
5751|613|176|235
5752|614|102|378
5753|614|102|378
5754|614|102|378
5755|614|153|555
5756|614|-268|352
5757|614|268|-36
5758|614|536|379
5759|614|522|283
5760|614|800|-283
5761|614|-218|453
5762|614|178|216
5763|614|561|-220
5764|614|98|447
5765|614|435|681
5766|614|-36|606
5767|614|809|-52
5768|614|-102|-553
5769|614|361|-684
5770|614|-100|-600
5771|614|-128|-378
5772|614|320|-467
5773|622|494|497
5774|622|384|27
5775|622|-123|-375
5776|622|286|309
5777|622|18|-128
5778|622|-420|-261
5779|622|172|-511
5780|622|575|-142
5781|622|352|-163
5782|622|-492|-29
5783|622|-206|664
5784|622|-464|679
5785|622|-496|78
5786|622|-373|349
5787|622|135|446
5788|622|-53|435
