key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
#,Name,Bg,,PlaceName{Region},PlaceName{Zone},PlaceName,Map,,,TerritoryIntendedUse,,,WeatherRate,,,,,,,,,,,Aetheryte,,,,,,,,,
int32,str,str,byte,PlaceName,PlaceName,PlaceName,Map,byte,byte,byte,uint16,bit&01,byte,byte,bit&02,bit&04,bit&08,bit&10,uint16,int32,int32,uint32,uint16,Aetheryte,int32,uint16,sbyte,bit&20,byte,byte,byte,byte,bit&40
1,"","",0,"","","","",0,0,0,0,False,0,0,False,False,False,False,0,0,0,0,0,"",0,0,0,False,0,0,0,0,False
2,"","",0,"","","","",0,0,0,0,False,0,0,False,False,False,False,0,0,0,0,0,"",0,0,0,False,0,0,0,0,False
3,"","",0,"","","","",0,0,0,0,False,0,0,False,False,False,False,0,0,0,0,0,"",0,0,0,False,0,0,0,0,False
4,"","",0,"","","","",0,0,0,0,False,0,0,False,False,False,False,0,0,0,0,0,"",0,0,0,False,0,0,0,0,False
5,"","",0,"","","","",0,0,0,0,False,0,0,False,False,False,False,0,0,0,0,0,"",0,0,0,False,0,0,0,0,False
6,"","",0,"","","","",0,0,0,0,False,0,0,False,False,False,False,0,0,0,0,0,"",0,0,0,False,0,0,0,0,False
7,"","",0,"","","","",0,0,0,0,False,0,0,False,False,False,False,0,0,0,0,0,"",0,0,0,False,0,0,0,0,False
8,"","",0,"","","","",0,0,0,0,False,0,0,False,False,False,False,0,0,0,0,0,"",0,0,0,False,0,0,0,0,False
9,"","",0,"","","","",0,0,0,0,False,0,0,False,False,False,False,0,0,0,0,0,"",0,0,0,False,0,0,0,0,False
10,"","",0,"","","","",0,0,0,0,False,0,0,False,False,False,False,0,0,0,0,0,"",0,0,0,False,0,0,0,0,False
11,"","",0,"","","","",0,0,0,0,False,0,0,False,False,False,False,0,0,0,0,0,"",0,0,0,False,0,0,0,0,False
13,"","",0,"","","","",0,0,0,0,False,0,0,False,False,False,False,0,0,0,0,0,"",0,0,0,False,0,0,0,0,False
14,"","",0,"","","","",0,0,0,0,False,0,0,False,False,False,False,0,0,0,0,0,"",0,0,0,False,0,0,0,0,False
15,"","",0,"","","","",0,0,0,0,False,0,0,False,False,False,False,0,0,0,0,0,"",0,0,0,False,0,0,0,0,False
16,"","",0,"","","","",0,0,0,0,False,0,0,False,False,False,False,0,0,0,0,0,"",0,0,0,False,0,0,0,0,False
17,"","",0,"","","","",0,0,0,0,False,0,0,False,False,False,False,0,0,0,0,0,"",0,0,0,False,0,0,0,0,False
18,"","",0,"","","","",0,0,0,0,False,0,0,False,False,False,False,0,0,0,0,0,"",0,0,0,False,0,0,0,0,False
19,"","",0,"","","","",0,0,0,0,False,0,0,False,False,False,False,0,0,0,0,0,"",0,0,0,False,0,0,0,0,False
20,"","",0,"","","","",0,0,0,0,False,0,0,False,False,False,False,0,0,0,0,0,"",0,0,0,False,0,0,0,0,False
21,"","",0,"","","","",0,0,0,0,False,0,0,False,False,False,False,0,0,0,0,0,"",0,0,0,False,0,0,0,0,False
22,"","",0,"","","","",0,0,0,0,False,0,0,False,False,False,False,0,0,0,0,0,"",0,0,0,False,0,0,0,0,False
24,"","",0,"","","","",0,0,0,0,False,0,0,False,False,False,False,0,0,0,0,0,"",0,0,0,False,0,0,0,0,False
25,"","",0,"","","","",0,0,0,0,False,0,0,False,False,False,False,0,0,0,0,0,"",0,0,0,False,0,0,0,0,False
26,"","",0,"","","","",0,0,0,0,False,0,0,False,False,False,False,0,0,0,0,0,"",0,0,0,False,0,0,0,0,False
27,"","",0,"","","","",0,0,0,0,False,0,0,False,False,False,False,0,0,0,0,0,"",0,0,0,False,0,0,0,0,False
28,"","",0,"","","","",0,0,0,0,False,0,0,False,False,False,False,0,0,0,0,0,"",0,0,0,False,0,0,0,0,False
128,"s1t1","ffxiv/sea_s1/twn/s1t1/level/s1t1",1,"ラノシア","リムサ・ロミンサ市街","リムサ・ロミンサ：上甲板層","s1t1/01",2,0,0,0,False,131,0,True,False,False,False,1020,122007,123002,852085,0,"リムサ・ロミンサ：下甲板層",-1,0,0,False,0,0,0,0,False
129,"s1t2","ffxiv/sea_s1/twn/s1t2/level/s1t2",1,"ラノシア","リムサ・ロミンサ市街","リムサ・ロミンサ：下甲板層","s1t2/00",2,0,0,0,False,132,0,True,False,False,False,1020,122007,123003,852088,0,"リムサ・ロミンサ：下甲板層",-1,0,1,False,0,0,0,0,False
130,"w1t1","ffxiv/wil_w1/twn/w1t1/level/w1t1",1,"ザナラーン","ウルダハ市街","ウルダハ：ナル回廊","w1t1/01",4,0,0,0,False,133,0,True,False,False,False,1035,122008,123102,852086,0,"ウルダハ：ナル回廊",-1,0,2,False,0,0,0,0,False
131,"w1t2","ffxiv/wil_w1/twn/w1t2/level/w1t2",1,"ザナラーン","ウルダハ市街","ウルダハ：ザル回廊","w1t2/01",4,0,0,0,False,134,0,True,False,False,False,1035,122008,123103,853381,0,"ウルダハ：ナル回廊",-1,0,3,False,0,0,0,0,False
132,"f1t1","ffxiv/fst_f1/twn/f1t1/level/f1t1",1,"黒衣森","グリダニア市街","グリダニア：新市街","f1t1/00",3,0,0,0,False,129,0,True,False,False,False,1003,122009,123202,852087,0,"グリダニア：新市街",-1,2,4,False,0,0,0,0,False
133,"f1t2","ffxiv/fst_f1/twn/f1t2/level/f1t2",1,"黒衣森","グリダニア市街","グリダニア：旧市街","f1t2/00",3,0,0,0,False,130,0,True,False,False,False,1003,122009,123203,852103,0,"グリダニア：新市街",-1,0,5,False,0,0,0,0,False
134,"s1f1","ffxiv/sea_s1/fld/s1f1/level/s1f1",1,"ラノシア","ラノシア","中央ラノシア","s1f1/00",2,0,1,0,False,16,0,True,True,True,False,1021,122001,123004,852316,0,"サマーフォード庄",-1,0,6,False,0,0,0,1,False
135,"s1f2","ffxiv/sea_s1/fld/s1f2/level/s1f2",1,"ラノシア","ラノシア","低地ラノシア","s1f2/00",2,0,1,0,False,17,0,True,True,True,False,1021,122001,123005,853721,0,"モラビー造船廠",-1,0,7,False,0,0,0,2,False
136,"s1h1_test","ffxiv/sea_s1/hou/s1h1/level/s1h1",1,"ラノシア","ラノシア","ミスト・ヴィレッジ","s1h1/01",2,0,0,0,False,14,0,False,False,False,False,1083,122001,123010,0,0,"リムサ・ロミンサ：下甲板層",-1,0,8,False,0,0,0,0,False
137,"s1f3","ffxiv/sea_s1/fld/s1f3/level/s1f3",1,"ラノシア","ラノシア","東ラノシア","s1f3/00",2,0,1,0,False,18,0,True,True,True,False,1021,122001,123006,853427,0,"コスタ・デル・ソル",-1,0,9,False,0,0,0,3,False
138,"s1f4","ffxiv/sea_s1/fld/s1f4/level/s1f4",1,"ラノシア","ラノシア","西ラノシア","s1f4/00",2,0,1,0,False,19,0,True,True,True,False,1021,122001,123007,852317,0,"スウィフトパーチ入植地",-1,0,10,False,0,0,0,4,False
139,"s1f5","ffxiv/sea_s1/fld/s1f5/level/s1f5",1,"ラノシア","ラノシア","高地ラノシア","s1f5/00",2,0,1,0,False,20,0,True,True,True,False,1021,122001,123008,0,0,"キャンプ・ブロンズレイク",-1,0,11,False,0,0,0,5,False
140,"w1f1","ffxiv/wil_w1/fld/w1f1/level/w1f1",1,"ザナラーン","ザナラーン","西ザナラーン","w1f1/00",4,0,1,0,False,9,0,True,True,True,False,1036,122002,123104,852089,0,"ホライズン",-1,0,12,False,0,0,0,11,False
141,"w1f2","ffxiv/wil_w1/fld/w1f2/level/w1f2",1,"ザナラーン","ザナラーン","中央ザナラーン","w1f2/00",4,0,1,0,False,10,0,True,True,True,False,1036,122002,123105,852111,0,"ブラックブラッシュ停留所",-1,0,13,False,0,0,0,12,False
142,"w1d7_battle","ffxiv/wil_w1/dun/w1d7/level/w1d7",1,"ザナラーン","ザナラーン","ハラタリ修練所","default/00",4,2,10,81,False,0,0,True,False,False,False,1001,122002,124116,0,0,"",-1,68,-1,False,0,0,0,0,False
143,"r1fd","ffxiv/roc_r1/fld/r1fd/level/r1fd",1,"クルザス","クルザス","雲廊","r1fd/00",5,2,24,83,False,28,2,True,False,False,False,1001,122004,124313,0,0,"",-1,88,-1,False,0,0,0,0,False
144,"w1eb","ffxiv/wil_w1/evt/w1eb/level/w1eb",1,"ザナラーン","ザナラーン","ゴールドソーサー","w1eb/00",4,0,23,0,False,0,0,True,False,False,False,1143,122002,124117,0,0,"ゴールドソーサー",-1,77,-1,False,0,0,0,0,False
145,"w1f3","ffxiv/wil_w1/fld/w1f3/level/w1f3",1,"ザナラーン","ザナラーン","東ザナラーン","w1f3/00",4,0,1,0,False,11,0,True,True,True,False,1036,122002,123106,853019,0,"キャンプ・ドライボーン",-1,0,14,False,0,0,0,13,False
